"N","age","beta_true","mean_unpen","sd_unpen","bias_unpen","mean_pen","sd_pen","bias_pen","snap_rate"
50000,"0",0.0469011555088597,0.0492244921844595,0.0637341155128988,0.00232333667559973,0.0464521474864315,0.0055809376413903,-0.000449008022428261,0.96
50000,"1-4",0.110675808277358,0.11071716544355,0.166637599739013,4.13571661914691e-05,0.0460582120402366,0.00603666585691105,-0.0646175962371215,0.99
50000,"5-9",0.0784767136680064,0.092367173220772,0.189948504015316,0.0138904595527655,0.0454545454545455,4.51957185065112e-18,-0.033022168213461,1
50000,"10-14",0.0422887499214844,-0.00128089308865335,0.170783092769383,-0.0435696430101377,0.0454545454545455,4.51957185065112e-18,0.00316579553306109,1
50000,"15-19",0.0520233944118369,0.0471514018751079,0.120655678691114,-0.00487199253672897,0.0453571879537568,0.00599358173433409,-0.00666620645808011,0.97
50000,"20-24",0.0438271188339472,0.0475358490004358,0.0981694030633088,0.00370873016648858,0.0460848016606731,0.00422978624488192,0.00225768282672589,0.94
50000,"25-29",0.0505899039281294,0.0356841928612367,0.0865710374111769,-0.0149057110668926,0.0446900224414035,0.00596315526422556,-0.0058998814867259,0.95
50000,"30-34",0.0468341571333686,0.0511389760036612,0.0568672837568456,0.00430481887029265,0.0463590505128325,0.00693092587003581,-0.00047510662053607,0.91
50000,"35-39",0.0394017280956176,0.0442006688731928,0.0462139837389418,0.00479894077757527,0.0459810380262484,0.00482983953870508,0.00657930993063082,0.89
50000,"40-44",0.0329677363497863,0.039154998300622,0.0461684995376019,0.00618726195083578,0.0439731036711376,0.0110320847460074,0.0110053673213514,0.82
50000,"45-49",0.025950079978389,0.0285908557392214,0.0320864562410663,0.00264077576083246,0.0416902001293314,0.00969290905548929,0.0157401201509425,0.71
50000,"50-54",0.0287499471299496,0.0295468275559278,0.0325541500954699,0.000796880425978284,0.0399883013809073,0.0109633384668349,0.0112383542509578,0.54
50000,"55-59",0.0445772840877155,0.0469072915773336,0.0355293723280018,0.00233000748961817,0.0466383603129502,0.0112345678886823,0.00206107622523474,0.61
50000,"60-64",0.0562673346856074,0.0596632105731831,0.0336885023968658,0.00339587588757573,0.0495753679159836,0.00897967567953309,-0.00669196676962379,0.57
50000,"65-69",0.0678324947554817,0.0763225172651625,0.0422584122610939,0.00849002250968074,0.0598843256286488,0.0140422189769473,-0.00794816912683299,0.25
50000,"70-74",0.0650219890413153,0.0709975292533508,0.0401145981824695,0.00597554021203553,0.0570963191659345,0.0120274222932459,-0.00792566987538078,0.23
50000,"75-79",0.0514850010931134,0.0564628239702089,0.0302028083508065,0.00497782287709553,0.0494582477027924,0.00849672033286096,-0.00202675339032105,0.39
50000,"80-84",0.0428678086215171,0.0486500327308581,0.0226307058677868,0.00578222410934101,0.0456954954808172,0.00628625141296412,0.00282768685930004,0.43
50000,"85-89",0.0324055997576375,0.0367470747214873,0.0259747715898851,0.0043414749638498,0.0393163538358325,0.00910552691428019,0.00691075407819506,0.25
50000,"90-94",0.0223293502930381,0.0236982050403061,0.0242222522034348,0.00136885474726798,0.0327060104441554,0.0112389638488401,0.0103766601511173,0.16
50000,"95-99",0.0127171967751866,0.00775531484936,0.0288343136572992,-0.00496188192582661,0.0365719936509478,0.0123199251982697,0.0238547968757612,0.51
50000,"100+",0.0058094476526544,-0.0012357079507839,0.100845752332532,-0.00704515560343831,0.0455143696498881,0.00752782561257427,0.0397049219972337,0.95
2e+05,"0",0.0469011555088597,0.0487788308472101,0.025908969869311,0.00187767533835036,0.048081012040356,0.014989554597475,0.00117985653149626,0.43
2e+05,"1-4",0.110675808277358,0.107203216558254,0.0480846172232378,-0.00347259171910433,0.0775535737388673,0.0343543021760671,-0.0331222345384908,0.34
2e+05,"5-9",0.0784767136680064,0.0776064656253672,0.0604522496588779,-0.000870248042639188,0.0589690288594725,0.0263190969183043,-0.0195076848085339,0.6
2e+05,"10-14",0.0422887499214844,0.0341376708379738,0.0670230649802423,-0.00815107908351057,0.0468797011956474,0.0220840314502973,0.004590951274163,0.7
2e+05,"15-19",0.0520233944118369,0.0496888865746974,0.0401178783503571,-0.00233450783713954,0.0497428738355536,0.0193096176507616,-0.00228052057628334,0.51
2e+05,"20-24",0.0438271188339472,0.0439268753787589,0.0284530981513553,9.97565448117299e-05,0.0470632724416411,0.0136445440357681,0.00323615360769393,0.43
2e+05,"25-29",0.0505899039281294,0.049536142196868,0.0268681596473578,-0.00105376173126136,0.0488499733301265,0.0148219450691804,-0.00173993059800284,0.4
